Date,User,Impact_Score,Leaderboard_Rank,Smoothed_Leaderboard_Rank
23-11-2024,Bob,147.7941889,17,19
24-11-2024,Charlie,83.64039642,53,29
26-11-2024,Eve,156.8268832,12,28
27-11-2024,YOU,85.58736312,52,42
04-12-2024,Alice,98.80995472,45,40
07-12-2024,Bob,161.9737108,10,20
19-12-2024,Charlie,147.4449349,18,29
26-12-2024,Eve,177.3835116,1,20
,YOU,148.6419338,17,37
,Alice,135.2462905,24,42
,Bob,64.05121517,64,33
,Charlie,105.1573705,41,37
,Eve,89.78035515,50,28
,YOU,86.59844651,51,43
,Alice,195.9515832,1,29
,Bob,108.9646587,39,29
,Charlie,183.8069833,1,37
,Eve,144.6707939,19,28
,YOU,169.2216955,5,30
,Alice,125.395564,30,23
,Bob,136.5355827,24,31
,Charlie,123.8776541,31,29
,Eve,79.28644817,55,27
,YOU,158.3678173,12,27
,Alice,92.11585437,48,30
,Bob,53.64739496,70,41
,Charlie,146.8208444,18,22
,Eve,76.56660191,57,36
,YOU,191.0687877,1,17
,Alice,193.0892866,1,21
,Bob,187.2296585,1,40
,Charlie,105.523805,41,26
,Eve,52.31849248,70,50
,YOU,189.2477844,1,14
,Alice,114.2276222,36,23
,Bob,194.9982229,1,27
,Charlie,194.5429966,1,18
,Eve,177.9514183,1,40
,YOU,94.16733381,47,13
,Alice,107.7646593,40,31
,Bob,177.6705007,1,19
,Charlie,97.53830077,45,27
,Eve,75.423912,58,48
,YOU,133.5201894,25,17
,Alice,190.4232161,1,25
,Bob,154.4044695,14,17
,Charlie,135.5091755,24,26
,Eve,64.57647407,64,50
,YOU,142.251084,20,19
,Alice,198.5080775,1,16
,Bob,71.01260229,60,15
,Charlie,127.7494479,29,28
,Eve,181.6059608,1,39
,YOU,161.1152927,10,21
,Alice,154.5523611,14,18
,Bob,155.3726126,13,18
,Charlie,103.9236727,42,28
,Eve,94.03877664,47,34
,YOU,171.4041733,4,21
,Alice,171.5170092,4,12
,Bob,180.0608478,1,18
,Charlie,186.9860829,1,28
,Eve,126.7013598,29,40
,YOU,125.2274442,30,18
,Alice,169.7442768,5,5
,Bob,147.4945896,18,21
,Charlie,155.2950316,13,22
,Eve,169.3689004,5,29
,YOU,183.5008013,1,13
,Alice,100.6992735,44,14
,Bob,106.3374429,40,26
,Charlie,64.09729098,64,30
,Eve,136.7420211,24,21
,YOU,55.39134107,69,23
,Alice,119.8397027,33,20
,Bob,131.3966952,27,20
,Charlie,92.98118782,48,34
,Eve,138.6249891,22,25
,YOU,54.57503749,69,35
,Alice,55.60222831,69,31
,Bob,173.3900841,3,18
,Charlie,104.0285962,42,34
,Eve,69.0590769,61,28
,YOU,128.336489,28,39
,Alice,165.499033,8,32
,Bob,82.37315412,54,28
,Charlie,143.4335714,20,37
,Eve,62.80211975,65,35
,YOU,57.75225818,67,47
,Alice,129.7031947,27,36
,Bob,131.0952682,27,30
,Charlie,145.6144852,19,39
,Eve,158.9137001,11,37
,YOU,196.3778119,1,47
,Alice,127.4450522,29,33
,Bob,98.44347094,45,31
,Charlie,169.2779292,5,27
,Eve,90.62483769,49,42
,YOU,115.8457131,35,40
,Alice,61.7684572,65,40
,Bob,53.80261151,70,40
,Charlie,194.3972622,1,17
,Eve,175.3970181,2,38
,YOU,154.3961309,14,29
,Alice,111.3429417,38,33
,Bob,75.99414801,57,51
,Charlie,73.4655564,59,21
,Eve,87.53643472,51,36
,YOU,132.3839997,26,29
,Alice,157.1893884,12,34
,Bob,149.0296065,17,43
,Charlie,91.99008454,48,26
,Eve,193.2297921,1,23
,YOU,160.6845375,10,17
,Alice,133.1531079,26,34
,Bob,141.7581119,21,42
,Charlie,112.9400094,37,30
,Eve,87.15964843,51,31
,YOU,103.3959018,42,25
,Alice,163.6769166,9,30
,Bob,52.15902329,71,47
,Charlie,67.41089608,62,41
,Eve,56.9003963,68,35
,YOU,56.10932035,68,32
,Alice,178.3190876,1,17
,Bob,155.5486789,13,36
,Charlie,121.1260744,32,48
,Eve,64.6751241,64,47
,YOU,123.7423813,31,35
,Alice,121.0207656,32,16
,Bob,75.98028049,57,36
,Charlie,115.0777474,36,43
,Eve,109.7757102,39,45
,YOU,142.3775147,20,34
,Alice,145.2640476,19,17
,Bob,56.79560147,68,46
,Charlie,106.1918922,41,42
,Eve,143.8789874,20,48
,YOU,125.4704388,30,38
,Alice,178.4734762,1,12
,Bob,148.8040447,17,45
,Charlie,74.44016406,58,46
,Eve,60.58531211,66,51
,YOU,146.3628917,18,33
,Alice,53.97669658,70,25
,Bob,137.8663372,23,36
,Charlie,191.0345362,1,34
,Eve,136.3211267,24,43
