Date,Donation_Category,Donation_Amount,Leaderboard_Rank,Volunteer_Hours,Points_Earned,Points_Redeemed,People_Referred,Total_Contribution_By_Referred,Cause_Category,Calculated_Impact_Score,Updated_Leaderboard_Rank
12-08-2024,Poverty Relief,50,18,13,99,35,0,0,Education,21.00,72
20-08-2024,Education,200,19,19,48,21,2,0,Animal Welfare,73.67,1
20-08-2024,Education,200,19,1,97,22,0,0,Animal Welfare,67.00,10
23-08-2024,Healthcare,10,17,19,86,44,5,0,Health,11.33,85
05-09-2024,Healthcare,50,19,13,25,29,1,0,Disaster Relief,21.33,71
05-09-2024,Poverty Relief,100,19,16,82,17,2,27.77,Health,39.33,47
05-09-2024,Education,10,19,1,15,19,2,27.77,Environment,4.33,94
12-09-2024,Healthcare,200,16,12,54,16,3,0,Disaster Relief,71.67,4
16-09-2024,Environment,10,17,10,78,14,2,27.77,Health,7.33,90
17-09-2024,Education,10,16,13,64,7,1,13.88,Education,8.00,89
27-09-2024,Poverty Relief,50,16,14,94,46,0,0,Health,21.33,71
01-10-2024,Education,50,13,18,57,12,2,0,Education,23.33,69
03-10-2024,Animal Welfare,200,16,18,18,20,3,0,Education,73.67,1
04-10-2024,Education,20,14,20,74,7,2,0,Health,14.00,81
06-10-2024,Education,50,12,8,92,47,3,41.65,Environment,20.33,73
08-10-2024,Education,200,10,16,53,34,4,55.54,Education,73.33,1
10-10-2024,Poverty Relief,31.59,12,8,11,48,0,0,Disaster Relief,13.20,82
11-10-2024,Environment,50,13,9,63,44,5,69.42,Disaster Relief,21.33,71
13-10-2024,Poverty Relief,50,13,14,72,11,3,41.65,Animal Welfare,22.33,70
14-10-2024,Education,200,10,16,23,12,2,0,Education,72.67,2
17-10-2024,Poverty Relief,20,8,1,65,13,2,27.77,Health,7.67,90
18-10-2024,Education,100,8,13,56,47,0,0,Health,37.67,49
19-10-2024,Healthcare,10,9,11,91,30,2,27.77,Health,7.67,90
26-10-2024,Healthcare,100,7,13,68,17,3,41.65,Disaster Relief,38.67,48
02-11-2024,Healthcare,35.49,7,6,100,46,1,13.88,Animal Welfare,14.16,81
05-11-2024,Education,20,6,15,29,37,0,0,Disaster Relief,11.67,84
19-11-2024,Education,5.75,5,5,65,48,3,41.65,Health,4.58,94
20-11-2024,Poverty Relief,100,4,20,32,33,1,13.88,Health,40.33,46
21-11-2024,Poverty Relief,10,5,18,76,38,0,0,Environment,9.33,87
23-11-2024,Environment,10,6,1,93,18,0,0,Education,3.67,95
23-11-2024,Education,200,7,13,44,6,2,0,Disaster Relief,71.67,4
24-11-2024,Healthcare,20,2,19,88,12,4,55.54,Disaster Relief,14.33,81
26-11-2024,Education,20,5,19,78,18,4,55.54,Animal Welfare,14.33,81
27-11-2024,Education,200,4,1,71,14,5,0,Education,68.67,8
04-12-2024,Education,20,5,3,69,23,3,41.65,Environment,8.67,88
07-12-2024,Poverty Relief,20,1,14,65,11,1,0,Disaster Relief,11.67,84
19-12-2024,Women Empowerment,100,3,5,85,19,2,27.77,Environment,35.67,52
26-12-2024,Healthcare,200,2,15,44,0,2,0,Health,72.33,3
